iter	Passed	Remaining
0	3	3255
1	5	2536
2	9	3072
3	11	2749
4	12	2567
5	14	2453
6	17	2449
7	20	2486
8	23	2581
9	25	2543
10	27	2474
11	29	2402
12	31	2424
13	34	2402
14	38	2515
15	43	2688
16	45	2654
17	47	2611
18	50	2624
19	53	2606
20	54	2563
21	57	2550
22	59	2511
23	60	2477
24	62	2442
25	65	2439
26	67	2438
27	70	2459
28	72	2431
29	74	2404
30	77	2413
31	80	2430
32	82	2404
33	85	2418
34	86	2397
35	89	2402
36	94	2459
37	96	2450
38	99	2450
39	102	2460
40	104	2441
41	107	2445
42	108	2425
43	111	2414
44	113	2406
45	115	2389
46	116	2368
47	119	2370
48	121	2362
49	123	2348
50	125	2333
51	127	2315
52	129	2318
53	133	2334
54	136	2337
55	140	2361
56	143	2369
57	145	2357
58	146	2340
59	148	2333
60	151	2337
61	154	2331
62	156	2325
63	158	2320
64	161	2322
65	163	2309
66	165	2298
67	167	2292
68	170	2293
69	172	2285
70	173	2275
71	176	2276
72	180	2286
73	182	2279
74	184	2274
75	186	2269
76	190	2280
77	192	2272
78	195	2273
79	197	2268
80	199	2260
81	201	2256
82	207	2296
83	213	2324
84	215	2316
85	217	2311
86	219	2301
87	221	2296
88	224	2295
89	226	2290
90	228	2286
91	231	2286
92	234	2286
93	237	2285
94	240	2286
95	242	2282
96	245	2282
97	247	2273
98	250	2282
99	252	2273
100	254	2263
101	256	2254
102	258	2250
103	260	2246
104	263	2246
105	265	2237
106	267	2229
107	270	2234
108	274	2241
109	278	2251
110	280	2244
111	283	2244
112	284	2236
113	290	2255
114	292	2248
115	293	2240
116	295	2232
117	298	2229
118	300	2225
119	304	2232
120	306	2228
121	309	2228
122	312	2225
123	313	2217
124	315	2210
125	317	2203
126	320	2206
127	322	2199
128	324	2192
129	326	2184
130	328	2177
131	332	2186
132	334	2181
133	337	2181
134	342	2196
135	347	2210
136	350	2207
137	352	2202
138	354	2195
139	357	2195
140	359	2191
141	361	2183
142	363	2180
143	366	2176
144	368	2169
145	371	2172
146	373	2165
147	375	2161
